Centro Poblado,Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,C_Aerodromo,C_Regional,C_Nacional,C_Internacional
SAMACÁ,True,GUSTAVO ROJAS PINILLA,16.6019167069691,ALBERTO LLERAS CAMARGO,60.6495503582505,EL ALCARAVAN,123.442044693477,EL DORADO,114.421314659056,True,False,False,False
LA CUMBRE,True,LAS AGUILAS -CA,17.257379962907,FARFAN HERIBERTO GIL MAR,62.496088474273,BUENAVENTURA-GERARDO TOBAR LOPEZ,50.499304800898294,ALFONSO BONILLA ARAGON,23.8112168219388,True,False,False,True
LA FABRICA,True,GUSTAVO ROJAS PINILLA,20.648271823408603,ALBERTO LLERAS CAMARGO,64.6955106335444,EL ALCARAVAN,126.884057128517,EL DORADO,110.815145653912,True,False,False,False
SAN EDUARDO,True,CIENAGA,23.247698587838503,ALBERTO LLERAS CAMARGO,51.7044016688556,EL ALCARAVAN,77.45179962750541,EL DORADO,131.96915463171499,True,False,False,False
SAN JOSÉ DE PARE,False,COMUNEROS,51.54637998292629,ALBERTO LLERAS CAMARGO,74.18738043613651,YARIGUIES,115.46825041134399,PALONEGRO,129.57630814094,False,False,False,False
SAN LUIS DE GACENO,True,AGUACLARA,15.524497943059199,ALBERTO LLERAS CAMARGO,97.7768199533478,VANGUARDIA,87.70833188910271,EL DORADO,109.224174673685,True,False,False,False
LA MESA DEL GUAVIO,True,AGUACLARA,8.70862018918507,ALBERTO LLERAS CAMARGO,97.8265259289344,VANGUARDIA,91.6041329299857,EL DORADO,117.66741319764401,True,False,False,False
SAN CARLOS DEL GUAVIO,True,AGUACLARA,2.2231196417175,ALBERTO LLERAS CAMARGO,103.28651120130199,VANGUARDIA,89.1100354187946,EL DORADO,120.10887955878401,True,False,False,False
LA FRONTERA (CORREDOR VIAL),True,AGUACLARA,10.1276266252092,ALBERTO LLERAS CAMARGO,95.69022472966049,VANGUARDIA,94.0670013199177,EL DORADO,119.35919853645099,True,False,False,False
SAN MATEO,False,BARACOA,44.9460280606787,LAS BRUJAS,79.1329956533317,LOS GARZONES,122.94965355848801,RAFAEL NUÑEZ,192.321566450982,False,False,False,False
SAN MIGUEL DE SEMA,False,GUSTAVO ROJAS PINILLA,41.8899954259264,ALBERTO LLERAS CAMARGO,85.0858346369725,EL ALCARAVAN,149.736070956117,EL DORADO,102.250211632006,False,False,False,False
SAN PABLO DE BORBUR,True,MUZO,12.4442871446488,MORELA,97.5466798296928,YARIGUIES,155.495074790501,EL DORADO,105.86475081903099,True,False,False,False
