NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha
ANDES,8833611700.0,1050048.0,2014_10
ANDES,8604355650.0,1027593.0,2014_11
ANDES,9485373900.0,1154847.0,2014_12
ANDES,8626914600.0,1012878.0,2015_01
ANDES,8178627200.0,942674.0,2015_02
ANDES,8890285400.0,1040367.0,2015_03
ANDES,8566835900.0,993625.0,2015_04
ANDES,9107857800.0,1063319.0,2015_05
ANDES,8615388500.0,1004780.0,2015_06
ANDES,9023156500.0,1042408.0,2015_07
ANDES,9314743700.0,1088098.0,2015_08
ANDES,8926831500.0,1030722.0,2015_09
ANDES,9549252000.0,1108975.0,2015_10
ANDES,9129779150.0,1064596.0,2015_11
ANDES,10253382900.0,1217845.0,2015_12
ANDES,9341236050.0,1036048.0,2016_01
ANDES,9225758450.0,1001589.0,2016_02
ANDES,9642000100.0,1058358.0,2016_03
ANDES,9415170700.0,1025509.0,2016_04
ANDES,9716389200.0,1066629.0,2016_05
ANDES,9432692900.0,1039355.0,2016_06
ANDES,9328062400.0,1047928.0,2016_07
ANDES,10124754700.0,1103631.0,2016_08
ANDES,10043278500.0,1076323.0,2016_09
ANDES,10282978900.0,1119480.0,2016_10
ANDES,10078784000.0,1094885.0,2016_11
ANDES,11289089550.0,1247473.0,2016_12
ANDES,10282652200.0,1077219.0,2017_01
ANDES,9721834100.0,996494.0,2017_02
ANDES,10595682000.0,1092847.0,2017_03
ANDES,10235129800.0,1067297.0,2017_04
ANDES,10646481600.0,1101549.0,2017_05
ANDES,10594031200.0,1097158.0,2017_06
ANDES,10830009500.0,1120652.0,2017_07
ANDES,11118015000.0,1146925.0,2017_08
ANDES,10668350600.0,1089840.0,2017_09
ANDES,11089080700.0,1131273.0,2017_10
ANDES,10814534500.0,1119348.0,2017_11
ANDES,0.0,0.0,2017_12
ANDES,0.0,0.0,2018_01
ANDES,0.0,0.0,2018_02
ANDES,0.0,0.0,2018_03
ANDES,0.0,0.0,2018_04
ANDES,0.0,0.0,2018_05
ANDES,0.0,0.0,2018_06
ANDES,0.0,0.0,2018_07
ANDES,0.0,0.0,2018_08
ANDES,0.0,0.0,2018_09
ANDES,0.0,0.0,2018_10
ANDES,0.0,0.0,2018_11
ANDES,0.0,0.0,2018_12
ANDES,,,2014_01
ANDES,,,2014_02
ANDES,,,2014_03
ANDES,,,2014_04
ANDES,,,2014_05
ANDES,,,2014_06
ANDES,,,2014_07
ANDES,,,2014_08
ANDES,,,2014_09
ANDES,,,2014_10
ANDES,,,2014_11
ANDES,,,2014_12
ANDES,,,2015_01
ANDES,,,2015_02
ANDES,,,2015_03
ANDES,,,2015_04
ANDES,,,2015_05
ANDES,,,2015_06
ANDES,,,2015_07
ANDES,,,2015_08
ANDES,,,2015_09
ANDES,,,2015_10
ANDES,,,2015_11
ANDES,,,2015_12
ANDES,0.0,0.0,2016_01
ANDES,0.0,0.0,2016_02
ANDES,0.0,0.0,2016_03
ANDES,0.0,0.0,2016_04
ANDES,0.0,0.0,2016_05
ANDES,0.0,0.0,2016_06
ANDES,0.0,0.0,2016_07
ANDES,0.0,0.0,2016_08
ANDES,0.0,0.0,2016_09
ANDES,0.0,0.0,2016_10
ANDES,0.0,0.0,2016_11
ANDES,0.0,0.0,2016_12
ANDES,0.0,0.0,2017_01
ANDES,0.0,0.0,2017_02
ANDES,0.0,0.0,2017_03
ANDES,0.0,0.0,2017_04
ANDES,0.0,0.0,2017_05
ANDES,0.0,0.0,2017_06
ANDES,0.0,0.0,2017_07
ANDES,0.0,0.0,2017_08
ANDES,0.0,0.0,2017_09
ANDES,0.0,0.0,2017_10
ANDES,0.0,0.0,2017_11
ANDES,11839252300.0,1247498.0,2017_12
ANDES,10709340300.0,1088479.0,2018_01
ANDES,10219396200.0,1013585.0,2018_02
ANDES,11336499100.0,1141929.0,2018_03
ANDES,10816977600.0,1075302.0,2018_04
ANDES,11472514050.0,1141293.0,2018_05
ANDES,11208580800.0,1117738.0,2018_06
ANDES,11232762300.0,1113533.0,2018_07
ANDES,12102361800.0,1170456.0,2018_08
ANDES,11508458600.0,1109877.0,2018_09
ANDES,11774805400.0,1131615.0,2018_10
ANDES,11426322300.0,1097962.0,2018_11
ANDES,12552733500.0,1245613.0,2018_12
ANDES,7952524200.0,951719.0,2014_01
ANDES,7590463100.0,896015.0,2014_02
ANDES,8330167150.0,989585.0,2014_03
ANDES,7900818950.0,940167.0,2014_04
ANDES,8560416350.0,1001869.0,2014_05
ANDES,7901251600.0,943065.0,2014_06
ANDES,8213085500.0,969776.0,2014_07
ANDES,8616967700.0,1041110.0,2014_08
ANDES,8315652000.0,988229.0,2014_09
ANDES,8833611700.0,1050048.0,2014_10
ANDES,8604355650.0,1027593.0,2014_11
ANDES,9485373900.0,1154847.0,2014_12
ANDES,8626914600.0,1012878.0,2015_01
ANDES,8178627200.0,942674.0,2015_02
ANDES,8890285400.0,1040367.0,2015_03
