,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
227,JUR,JUO,JURADO,Juradó,Chocó,Aeródromo,7.0731,-77.7285,MUNICIPIO,MUNICIPIO,800.0,20.0,6671.0,,13.0," 1503,000",,,1A,Público,552.0,27,27372
228,LAB,,LA  BARQUEREÑA,Nunchía,Casanare,Aeródromo,,,,,,,,,,,,,,,9.0,85,85225
229,LAC,,LA CABAÑA,Cumaral,Meta,Aeródromo,4.3019,-73.3697,HACIENDA LA CABAÑA,HACIENDA LA CABAÑA,1000.0,10.0,5500.0,,175.0,"  688,000",,2018-04-07,1A,Privado,7.0,50,50226
230,LAH,,LA CAMPECHANA,Maní,Casanare,Aeródromo,4.8871,-72.3151,JOSE A. ROSAS BARRERA,FUMIVILLA LTDA,800.0,10.0,2000.0,,609.0," 2138,000",,,1A,Fumigación,1.0,85,85139
231,LAL,,CRAVO SUR (antes la pista),Orocué,Casanare,Aeródromo,4.8274,-71.6626,J.LONDOÑO R Y CIA,J.LONDOÑO R Y CIA,800.0,18.0,4500.0,,482.0," 5384,000",,2017-11-04,1A,Privado,52.0,85,85230
232,LAM,,LA COLINA,Villavicencio,Meta,Aeródromo,4.0644,-73.3839,ERNESTO PEDRAZA GALEANO,AEROTEC LTDA.,850.0,19.0,6250.0,,1058.0,"  691,000",,,1A,Fumigación,145.0,50,50001
233,LAO,,LOS ALMENDROS,Carepa,Antioquia,Aeródromo,7.8083,-76.6519,SANVEL. LTDA.,FUMIGARAY,700.0,16.0,4000.0,,134.0," 1314,000",,,1A,Fumigación,32.0,5,5147
234,LAP,,LA CARPETA,Paz de Ariporo,Casanare,Aeródromo,,,,,,,,,,,,,,,1.0,85,85250
235,LAR,,LA ARROBLEDA,Caloto,Cauca,Aeródromo,3.1023,-76.419,INCUBADORA SANTANDER,INCUBADORA SANTANDER,780.0,15.0,5700.0,,3320.0," 6472,000",,2016-12-02,1A,Privado,1264.0,19,19142
236,LAU,,LAS JUANAS,Castilla la Nueva,Meta,Aeródromo,3.8233,-73.5322,GILBERTO GALINDO M.,SADELL  LTDA.,690.0,10.0,3000.0,,1082.0," 4735,000",,,1A,Fumigación,7.0,50,50150
237,LAV,,LA VICTORIA,La Paz,Cesar,Aeródromo,10.0621,-73.2583,AMA LTDA.,AMA LTDA.,800.0,18.0,2000.0,,300.0," 3939,000",,,1A,Fumigación,2.0,20,20621
238,LCH,LCR,VIRGILIO BARCO VARGAS,La Chorrera,Amazonas,Regional,-1.4564,-72.8011,CAJA AGRARIA,COMISARIA DEL AMAZONAS,1500.0,21.0,,,593.0,"  916,000",,,2A,Público,1754.0,91,91405
239,LCI,,LA CACICA,San Martín,Cesar,Aeródromo,7.9861,-73.5779,LA CACICA LTDA.,LA CACICA LTDA.,600.0,18.0,3000.0,,265.0," 5525,000",,2017-12-03,1A,Privado,24.0,20,20770
240,LCM,,LA CANDELARIA,Fuente de Oro,Meta,Aeródromo,,,,,,,,,,,,,,,6.0,50,50287
241,LCT,,LETICIA,Alvarado,Tolima,Aeródromo,4.463,-75.0359,ALVARO SIERRA FIGUEROA,SANIDAD VEGETAL CRUZ,840.0,10.0,2000.0,,860.0," 6352,000",,,1A,Fumigación,17.0,73,73026
242,LEM,,LA ESMERALDA,Villavicencio,Meta,Aeródromo,4.0883,-73.3678,GILMA LOZANO DE G.,ASAM LTDA,700.0,20.0,2000.0,,984.0," 1581,000",,,1A,Fumigación,11.0,50,50001
